Investigating,Orientation reliability,Correlation index,Misorientation,Smallest grain,Smoothing param,Filter type,Filter value,Fill gaps (bool)
Orientation reliability,0,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,1,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,3,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,5,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,7,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,10,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,12,0,15,1,0,"""none""",0,"""no"""
Orientation reliability,15,0,15,1,0,"""none""",0,"""no"""
Correlation index,1,0,15,1,0,"""none""",0,"""no"""
Correlation index,1,10,15,1,0,"""none""",0,"""no"""
Correlation index,1,50,15,1,0,"""none""",0,"""no"""
Correlation index,1,100,15,1,0,"""none""",0,"""no"""
Correlation index,1,150,15,1,0,"""none""",0,"""no"""
Correlation index,1,200,15,1,0,"""none""",0,"""no"""
Correlation index,1,250,15,1,0,"""none""",0,"""no"""
Misorientation,1,0,1,1,0,"""none""",0,"""no"""
Misorientation,1,0,3,1,0,"""none""",0,"""no"""
Misorientation,1,0,5,1,0,"""none""",0,"""no"""
Misorientation,1,0,7,1,0,"""none""",0,"""no"""
Misorientation,1,0,10,1,0,"""none""",0,"""no"""
Misorientation,1,0,12,1,0,"""none""",0,"""no"""
Misorientation,1,0,15,1,0,"""none""",0,"""no"""
Smallest grain,1,0,15,0,0,"""none""",0,"""no"""
Smallest grain,1,0,15,1,0,"""none""",0,"""no"""
Smallest grain,1,0,15,2,0,"""none""",0,"""no"""
Smallest grain,1,0,15,3,0,"""none""",0,"""no"""
Smallest grain,1,0,15,5,0,"""none""",0,"""no"""
Smallest grain,1,0,15,10,0,"""none""",0,"""no"""
Smoothing param,1,0,15,1,0,"""none""",0,"""no"""
Smoothing param,1,0,15,1,1,"""none""",0,"""no"""
Smoothing param,1,0,15,1,2,"""none""",0,"""no"""
Smoothing param,1,0,15,1,3,"""none""",0,"""no"""
Smoothing param,1,0,15,1,4,"""none""",0,"""no"""
Smoothing param,1,0,15,1,5,"""none""",0,"""no"""
Smoothing param,1,0,15,1,10,"""none""",0,"""no"""
Filter,1,0,15,1,0,"""median""",0,"""no"""
Filter,1,0,15,1,0,"""median""",1,"""no"""
Filter,1,0,15,1,0,"""median""",2,"""no"""
Filter,1,0,15,1,0,"""median""",3,"""no"""
Filter,1,0,15,1,0,"""kuwahara""",0,"""no"""
Filter,1,0,15,1,0,"""kuwahara""",1,"""no"""
Filter,1,0,15,1,0,"""kuwahara""",2,"""no"""
Filter,1,0,15,1,0,"""kuwahara""",3,"""no"""
Gap fill,1,0,15,1,0,"""none""",0,"""no"""
Gap fill,1,0,15,1,0,"""none""",0,"""yes"""
